date,total_nonfarm_employment_thousands,unemployment_rate_u3_pct,unemployment_rate_u6_pct,labor_force_participation_rate_pct,total_private_employment_thousands,avg_hourly_earnings_all_private,avg_weekly_hours_all_private
2019-01-01,150060,4.0,8.0,,,27.59,34.5
2019-02-01,150067,3.8,7.2,,,27.69,34.4
2019-03-01,150295,3.8,7.4,,,27.77,34.5
2019-04-01,150591,3.7,7.4,,,27.79,34.4
2019-05-01,150618,3.6,7.1,,,27.88,34.4
2019-06-01,150838,3.6,7.2,,,27.97,34.4
2019-07-01,150937,3.7,6.9,,,28.03,34.4
2019-08-01,151169,3.6,7.2,,,28.14,34.4
2019-09-01,151365,3.5,6.9,,,28.16,34.4
2019-10-01,151460,3.6,6.9,,,28.24,34.4
2019-11-01,151667,3.6,6.8,,,28.34,34.3
2019-12-01,151794,3.6,6.8,,,28.38,34.3
2020-01-01,152031,3.6,7.0,,,28.43,34.3
2020-02-01,152293,3.5,7.0,,,28.54,34.3
2020-03-01,150895,4.4,8.8,,,28.73,34.1
2020-04-01,130426,14.8,22.9,,,30.04,34.2
2020-05-01,133040,13.2,21.1,,,29.72,34.7
2020-06-01,137671,11.0,18.0,,,29.38,34.6
2020-07-01,139255,10.2,16.5,,,29.39,34.6
2020-08-01,140821,8.4,14.2,,,29.49,34.7
2020-09-01,141770,7.8,12.8,,,29.51,34.8
2020-10-01,142460,6.9,12.1,,,29.54,34.8
2020-11-01,142733,6.7,11.9,,,29.64,34.8
2020-12-01,142548,6.7,11.7,,,29.91,34.8
2021-01-01,142863,6.4,11.2,,,29.93,35.0
2021-02-01,143380,6.2,11.1,,,30.05,34.6
2021-03-01,144232,6.1,10.8,,,30.03,34.9
2021-04-01,144587,6.1,10.3,,,30.22,34.9
2021-05-01,145065,5.8,10.1,,,30.41,34.9
2021-06-01,145820,5.9,9.8,,,30.54,34.8
2021-07-01,146762,5.4,9.2,,,30.66,34.8
2021-08-01,147314,5.1,8.8,,,30.78,34.8
2021-09-01,147771,4.7,8.4,,,30.98,34.8
2021-10-01,148572,4.5,8.2,,,31.14,34.7
2021-11-01,149230,4.1,7.7,,,31.23,34.8
2021-12-01,149816,3.9,7.3,,,31.39,34.9
2022-01-01,150006,4.0,7.1,,,31.60,34.5
2022-02-01,150825,3.9,7.2,,,31.64,34.7
2022-03-01,151315,3.7,7.0,,,31.80,34.7
2022-04-01,151623,3.7,7.0,,,31.96,34.6
2022-05-01,151924,3.6,7.1,,,32.10,34.6
2022-06-01,152358,3.6,6.7,,,32.19,34.6
2022-07-01,153072,3.5,6.8,,,32.34,34.6
2022-08-01,153362,3.6,6.9,,,32.44,34.5
2022-09-01,153582,3.5,6.7,,,32.57,34.6
2022-10-01,153939,3.6,6.7,,,32.70,34.6
2022-11-01,154242,3.6,6.7,,,32.82,34.5
2022-12-01,154342,3.5,6.6,,,32.94,34.4
2023-01-01,154776,3.5,6.7,,,33.02,34.6
2023-02-01,155066,3.6,6.8,,,33.15,34.5
2023-03-01,155134,3.5,6.7,,,33.27,34.4
2023-04-01,155375,3.4,6.6,,,33.43,34.4
2023-05-01,155655,3.6,6.7,,,33.50,34.4
2023-06-01,155880,3.6,6.9,,,33.69,34.4
2023-07-01,156043,3.5,6.7,,,33.85,34.3
2023-08-01,156261,3.7,7.1,,,33.89,34.4
2023-09-01,156417,3.7,7.0,,,34.01,34.4
2023-10-01,156576,3.9,7.2,,,34.08,34.3
2023-11-01,156703,3.7,7.0,,,34.17,34.4
2023-12-01,156857,3.8,7.2,,,34.29,34.4
2024-01-01,157032,3.7,7.2,,,34.47,34.2
2024-02-01,157238,3.9,7.3,,,34.52,34.4
2024-03-01,157466,3.9,7.3,,,34.65,34.4
2024-04-01,157530,3.9,7.4,,,34.76,34.2
2024-05-01,157608,3.9,7.4,,,34.89,34.3
2024-06-01,157695,4.1,7.4,,,35.01,34.3
2024-07-01,157748,4.2,7.8,,,35.08,34.2
2024-08-01,157757,4.2,7.8,,,35.22,34.3
2024-09-01,157912,4.1,7.7,,,35.34,34.3
2024-10-01,157945,4.1,7.7,,,35.46,34.2
2024-11-01,158079,4.2,7.7,,,35.60,34.3
2024-12-01,158316,4.1,7.6,,,35.69,34.3
2025-01-01,158268,4.0,7.5,,,35.84,34.1
2025-02-01,158310,4.2,8.0,,,35.94,34.2
2025-03-01,158377,4.2,7.9,,,36.11,34.2
2025-04-01,158485,4.2,7.8,,,36.12,34.3
2025-05-01,158498,4.3,7.8,,,36.28,34.2
2025-06-01,158478,4.1,7.7,,,36.36,34.2
2025-07-01,158542,4.3,7.9,,,36.47,34.2
2025-08-01,158472,4.3,8.1,,,36.62,34.2
2025-09-01,158548,4.4,8.1,,,36.70,34.2
2025-10-01,158408,,,,,36.85,34.2
2025-11-01,158449,4.5,8.7,,,37.00,34.3
2025-12-01,158432,4.4,8.4,,,37.02,34.2
2026-01-01,158592,4.3,8.1,,,37.15,34.3
2026-02-01,158436,4.4,7.9,,,37.27,34.3
2026-03-01,158621,4.3,8.0,,,37.35,34.2
2026-04-01,158736,4.3,8.2,,,37.41,34.3
