,,,DBN,School Name,School Type,Enrollment,Impact Score,Performance Score,Instruction and Performance - Rating,Safety and School Climate - Rating,Relationships with Families - Rating,Instruction/Learning Environment - School Percent Positive,Advising and Planning - School Percent Positive,Safety - School Percent Positive,School Leadership - School Percent Positive,Student Support - School Percent Positive,Teaching Environment - School Percent Positive,Communication - School Percent Positive,Family Involvement - School Percent Positive,Family-School Trust - School Percent Positive,Average Incoming ELA Proficiency (Based on 5th Grade),Average Incoming Math Proficiency (Based on 5th Grade),Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Percentage of students recommended for general ed settings with Special Ed Teacher Support Services (SETSS),Percentage of students recommended for Integrated Co-Teaching (ICT) services,Percentage of students recommended for Special Class (SC) services,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Student Percent - Asian,Student Percent - Black,Student Percent - Hispanic,Student Percent - Native American,Student Percent - Native Hawaiian or Pacific Islander,Student Percent - White,Teacher Percent - Asian,Teacher Percent - Black,Teacher Percent - Hispanic,Teacher Percent - Native American,Teacher Percent - Native Hawaiian or Pacific Islander,Teacher Percent - White,Nearby Student Distance (mi),Nearby Student Percent - Asian,Nearby Student Percent - Black,Nearby Student Percent - Hispanic,Nearby Student Percent - Native American,Nearby Student Percent - Native Hawaiian or Pacific Islander,Nearby Student Percent - White,District Percent - Asian,District Percent - Black,District Percent - Hispanic,District Percent - Native American,District Percent - Native Hawaiian or Pacific Islander,District Percent - White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Average Student Attendance,Percentage of Students with >90% Attendance,Teacher Attendance Rate,Percentage of students with IEPs receiving all recommended special education programs,Percentage of students with IEPs receiving some recommended special education programs,Percentage of students with IEPs receiving no recommended special education programs,Percentage of students with IEPs receiving all recommended related services,Percentage of students with IEPs receiving some recommended related services,Percentage of students with IEPs receiving no recommended related services
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,01M015,P.S. 015 Roberto Clemente,Elementary,172,0.56,0.54,Good,Good,Excellent,0.84,,0.69,0.91,0.91,0.93,0.98,0.96,0.99,,,0.483,0.517,0,0.14,0.256,0,0.227,0.012,0.888,0.343,0.797,0.07,0.227,0.581,0,0.023,0.047,N<5,N<5,N<5,0,0,0.667,0.3,0.094,0.228,0.564,0.004,0.004,0.075,0.065,0.161,0.563,0.006,0.004,0.154,14.1,0.667,0.882,0.483,0.971,1,0,0,0.99,N/A,N/A
,,,01M020,P.S. 020 Anna Silver,Elementary,352,0.28,0.36,Needs Improvement,Good,Excellent,0.82,1,0.68,0.92,0.94,0.92,0.98,0.92,0.98,,,0.511,0.489,0,0.335,0.207,0.043,0.111,0.02,0.865,0.361,0.778,0.153,0.151,0.594,0.014,0,0.06,0.297,N<5,0.216,0,0,0.405,0.7,0.304,0.139,0.366,0.004,0.002,0.134,0.065,0.161,0.563,0.006,0.004,0.154,8.1,0.811,0.864,0.44,0.956,0.85,N/A,N/A,0.98,N/A,N/A
,,,01M034,P.S. 034 Franklin D. Roosevelt,K-8,189,0.52,0.29,Fair,Fair,Good,0.75,0.87,0.5,0.82,0.67,0.84,0.94,0.86,0.93,,,0.45,0.55,0,0.206,0.296,0.011,0.254,0.016,> 95%,0.381,0.868,0.026,0.381,0.561,0,0,0.032,N<5,N<5,0.303,0,0,0.515,0.2,0.082,0.289,0.505,0.003,0.003,0.081,0.172,0.149,0.46,0.005,0.003,0.153,2.1,0.576,0.862,0.425,0.963,1,0,0,0.97,N/A,N/A
,,,01M063,The STAR Academy - P.S.63,Elementary,177,0.36,0.37,Fair,Fair,Good,0.79,,0.76,0.73,0.84,0.78,0.92,0.96,0.92,,,0.492,0.508,0,0.175,0.367,0,0.282,0.051,0.839,0.26,0.774,0.006,0.158,0.74,0,0,0.079,N<5,N<5,N<5,0,0,0.667,0.7,0.244,0.126,0.379,0.004,0.003,0.189,0.065,0.161,0.563,0.006,0.004,0.154,1.1,0.952,0.869,0.433,0.949,0.91,N/A,N/A,0.98,N/A,N/A
,,,01M064,P.S. 064 Robert Simon,Elementary,156,0.42,0.39,Fair,Fair,Excellent,0.8,0.83,0.72,0.83,0.8,0.87,0.94,0.96,0.97,,,0.513,0.487,0,0.167,0.359,0,0.333,0.019,0.922,0.301,0.833,0.006,0.199,0.744,0,0,0.045,0,N<5,N<5,0,0,0.826,0.4,0.111,0.207,0.548,0.004,0.004,0.088,0.065,0.161,0.563,0.006,0.004,0.154,1,0.652,0.886,0.537,0.973,0.96,N/A,N/A,0.97,N/A,N/A
,,,01M110,P.S. 110 Florence Nightingale,Elementary,248,0.64,0.68,Good,Fair,Good,0.78,,0.64,0.8,0.77,0.78,0.91,0.95,0.96,,,0.456,0.544,0,0.016,0.177,0,0.149,0.004,0.709,0.109,0.605,0.121,0.133,0.528,0.004,0.012,0.173,N<5,0,N<5,0,0,0.741,0.3,0.147,0.174,0.494,0.005,0.005,0.121,0.065,0.161,0.563,0.006,0.004,0.154,16.2,0.778,0.917,0.651,0.972,1,0,0,0.95,N/A,N/A
,,,01M134,P.S. 134 Henrietta Szold,Elementary,177,0.29,0.27,Fair,Fair,Excellent,0.74,,0.5,0.81,0.88,0.84,0.97,0.94,0.98,,,0.469,0.531,0,0.271,0.373,0.006,0.215,0.107,> 95%,0.379,0.915,0.045,0.294,0.599,0.006,0.006,0.028,N<5,N<5,N<5,0,0,0.609,0.3,0.238,0.174,0.375,0.006,0.002,0.142,0.065,0.161,0.563,0.006,0.004,0.154,6.2,0.87,0.858,0.381,0.97,0.98,N/A,N/A,1,0,0
,,,01M140,P.S. 140 Nathan Straus,K-8,342,0.45,0.24,Fair,Needs Improvement,Fair,0.61,0.75,0.41,0.72,0.63,0.65,0.89,0.86,0.87,,,0.465,0.535,0,0.307,0.351,0.003,0.202,0.114,0.948,0.415,0.886,0.015,0.149,0.795,0,0,0.032,N<5,N<5,0.167,0,0,0.69,0.5,0.228,0.15,0.453,0.005,0.003,0.118,0.172,0.149,0.46,0.005,0.003,0.153,9.2,0.738,0.808,0.28,0.98,0.96,N/A,N/A,0.98,N/A,N/A
,,,01M142,P.S. 142 Amalia Castro,Elementary,317,0.4,0.39,Fair,Fair,Excellent,0.8,1,0.61,0.87,0.82,0.84,0.98,0.98,0.99,,,0.476,0.524,0,0.192,0.331,0,0.205,0.107,0.929,0.278,0.849,0.003,0.167,0.785,0.009,0,0.028,0.114,0.182,0.227,0,0,0.477,0.5,0.26,0.146,0.432,0.004,0.004,0.104,0.065,0.161,0.563,0.006,0.004,0.154,,0.75,0.866,0.438,0.954,0.95,N/A,N/A,0.98,N/A,N/A
